category	name	home	sdram	repository	branch	source_id	status	build_script	artifact	timing	hardware	comments
_Arcade	Irem M72		yes	https://github.com/MiSTer-devel/Arcade-IremM72_MiSTer.git		MiSTer-devel_Arcade-IremM72_MiSTer	not-ported			not-run	not-run	
_Arcade	Irem M90		yes	https://github.com/MiSTer-devel/Arcade-IremM90_MiSTer.git		MiSTer-devel_Arcade-IremM90_MiSTer	not-ported			not-run	not-run	
_Arcade	Irem M92		yes	https://github.com/MiSTer-devel/Arcade-IremM92_MiSTer.git		MiSTer-devel_Arcade-IremM92_MiSTer	not-ported			not-run	not-run	
_Arcade	Iron Horse		no	https://github.com/MiSTer-devel/Arcade-IronHorse_MiSTer.git		MiSTer-devel_Arcade-IronHorse_MiSTer	not-ported			not-run	not-run	
_Arcade	Jackal		yes	https://github.com/MiSTer-devel/Arcade-Jackal_MiSTer.git		MiSTer-devel_Arcade-Jackal_MiSTer	not-ported			not-run	not-run	
_Arcade	Jailbreak		no	https://github.com/MiSTer-devel/Arcade-Jailbreak_MiSTer.git		MiSTer-devel_Arcade-Jailbreak_MiSTer	not-ported			not-run	not-run	
_Arcade	Joust 2: Survival of the Fittest		no	https://github.com/MiSTer-devel/Arcade-Joust2_MiSTer.git		MiSTer-devel_Arcade-Joust2_MiSTer	not-ported			not-run	not-run	
_Arcade	Juno First		no	https://github.com/MiSTer-devel/Arcade-JunoFirst_MiSTer.git		MiSTer-devel_Arcade-JunoFirst_MiSTer	not-ported			not-run	not-run	
_Arcade	Kangaroo		no	https://github.com/MiSTer-devel/Arcade-Kangaroo_MiSTer.git		MiSTer-devel_Arcade-Kangaroo_MiSTer	not-ported			not-run	not-run	
_Arcade	Kick And Run		no	https://github.com/MiSTer-devel/Arcade-KickAndRun_MiSTer.git		MiSTer-devel_Arcade-KickAndRun_MiSTer	not-ported			not-run	not-run	
_Arcade	Klax		no	https://github.com/MiSTer-devel/Arcade-Klax_MiSTer.git		MiSTer-devel_Arcade-Klax_MiSTer	not-ported			not-run	not-run	
_Arcade	Kyugo System		no	https://github.com/MiSTer-devel/Arcade-Kyugo_MiSTer.git		MiSTer-devel_Arcade-Kyugo_MiSTer	not-ported			not-run	not-run	
_Arcade	Lady Bug		no	https://github.com/MiSTer-devel/Arcade-LadyBug_MiSTer.git		MiSTer-devel_Arcade-LadyBug_MiSTer	not-ported			not-run	not-run	
_Arcade	Laserdisc Games		yes	https://github.com/MiSTer-devel/Arcade-LaserdiscGames_MiSTer.git		MiSTer-devel_Arcade-LaserdiscGames_MiSTer	not-ported			not-run	not-run	
_Arcade	Legionnaire		yes	https://github.com/MiSTer-devel/Arcade-Legionnaire_MiSTer.git		MiSTer-devel_Arcade-Legionnaire_MiSTer	not-ported			not-run	not-run	
_Arcade	Major Havoc		yes	https://github.com/MiSTer-devel/Arcade-MajorHavoc_MiSTer.git		MiSTer-devel_Arcade-MajorHavoc_MiSTer	not-ported			not-run	not-run	
_Arcade	Mario Bros		no	https://github.com/MiSTer-devel/Arcade-MarioBros_MiSTer.git		MiSTer-devel_Arcade-MarioBros_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally Midway MCR-1		yes	https://github.com/MiSTer-devel/Arcade-MCR1_MiSTer.git		MiSTer-devel_Arcade-MCR1_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally Midway MCR-2		yes	https://github.com/MiSTer-devel/Arcade-MCR2_MiSTer.git		MiSTer-devel_Arcade-MCR2_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally Midway MCR-3		yes	https://github.com/MiSTer-devel/Arcade-MCR3_MiSTer.git		MiSTer-devel_Arcade-MCR3_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally Midway MCR-Monoboard		yes	https://github.com/MiSTer-devel/Arcade-MCR3Mono_MiSTer.git		MiSTer-devel_Arcade-MCR3Mono_MiSTer	not-ported			not-run	not-run	
_Arcade	Bally Midway MCR-Scroll		yes	https://github.com/MiSTer-devel/Arcade-MCR3Scroll_MiSTer.git		MiSTer-devel_Arcade-MCR3Scroll_MiSTer	not-ported			not-run	not-run	
_Arcade	Missile Command		no	https://github.com/MiSTer-devel/Arcade-MissileCommand_MiSTer.git		MiSTer-devel_Arcade-MissileCommand_MiSTer	not-ported			not-run	not-run	
_Arcade	Moon Patrol		yes	https://github.com/MiSTer-devel/Arcade-MoonPatrol_MiSTer.git		MiSTer-devel_Arcade-MoonPatrol_MiSTer	not-ported			not-run	not-run	
_Arcade	Mr. Do!		no	https://github.com/MiSTer-devel/Arcade-MrDo_MiSTer.git		MiSTer-devel_Arcade-MrDo_MiSTer	not-ported			not-run	not-run	
_Arcade	Mr. Jong		no	https://github.com/MiSTer-devel/Arcade-MrJong_MiSTer.git		MiSTer-devel_Arcade-MrJong_MiSTer	not-ported			not-run	not-run	
_Arcade	Mystic Marathon		no	https://github.com/MiSTer-devel/Arcade-MysticMarathon_MiSTer.git		MiSTer-devel_Arcade-MysticMarathon_MiSTer	not-ported			not-run	not-run	
_Arcade	Naughty Boy		no	https://github.com/MiSTer-devel/Arcade-NaughtyBoy_MiSTer.git		MiSTer-devel_Arcade-NaughtyBoy_MiSTer	not-ported			not-run	not-run	
_Arcade	Night Slashers		yes	https://github.com/MiSTer-devel/Arcade-NightSlashers_MiSTer.git		MiSTer-devel_Arcade-NightSlashers_MiSTer	not-ported			not-run	not-run	
_Arcade	Ninja-Kun: Majō no Bōken		no	https://github.com/MiSTer-devel/Arcade-NinjaKun_MiSTer.git		MiSTer-devel_Arcade-NinjaKun_MiSTer	not-ported			not-run	not-run	
_Arcade	Pac-Man / Puck Man		no	https://github.com/MiSTer-devel/Arcade-Pacman_MiSTer.git		MiSTer-devel_Arcade-Pacman_MiSTer	not-ported			not-run	not-run	
_Arcade	Pengo		no	https://github.com/MiSTer-devel/Arcade-Pengo_MiSTer.git		MiSTer-devel_Arcade-Pengo_MiSTer	not-ported			not-run	not-run	
_Arcade	PenguinKunWars		no	https://github.com/MiSTer-devel/Arcade-PenguinKunWars_MiSTer.git		MiSTer-devel_Arcade-PenguinKunWars_MiSTer	not-ported			not-run	not-run	
_Arcade	Performan		no	https://github.com/MiSTer-devel/Arcade-Performan_MiSTer.git		MiSTer-devel_Arcade-Performan_MiSTer	not-ported			not-run	not-run	
_Arcade	Phoenix		no	https://github.com/MiSTer-devel/Arcade-Phoenix_MiSTer.git		MiSTer-devel_Arcade-Phoenix_MiSTer	not-ported			not-run	not-run	
_Arcade	Pleiads		no	https://github.com/MiSTer-devel/Arcade-Pleiads_MiSTer.git		MiSTer-devel_Arcade-Pleiads_MiSTer	not-ported			not-run	not-run	
_Arcade	PolyPlay		no	https://github.com/MiSTer-devel/Arcade-PolyPlay_MiSTer.git		MiSTer-devel_Arcade-PolyPlay_MiSTer	not-ported			not-run	not-run	
_Arcade	Pong		no	https://github.com/MiSTer-devel/Arcade-Pong_MiSTer.git		MiSTer-devel_Arcade-Pong_MiSTer	not-ported			not-run	not-run	
_Arcade	Pooyan		no	https://github.com/MiSTer-devel/Arcade-Pooyan_MiSTer.git		MiSTer-devel_Arcade-Pooyan_MiSTer	not-ported			not-run	not-run	
_Arcade	Popeye		no	https://github.com/MiSTer-devel/Arcade-Popeye_MiSTer.git		MiSTer-devel_Arcade-Popeye_MiSTer	not-ported			not-run	not-run	
_Arcade	PsikyoSH2		yes	https://github.com/MiSTer-devel/Arcade-PsikyoSH2_MiSTer.git		MiSTer-devel_Arcade-PsikyoSH2_MiSTer	not-ported			not-run	not-run	
_Arcade	Psychic 5		no	https://github.com/MiSTer-devel/Arcade-Psychic5_MiSTer.git		MiSTer-devel_Arcade-Psychic5_MiSTer	not-ported			not-run	not-run	
_Arcade	QBert		no	https://github.com/MiSTer-devel/Arcade-QBert_MiSTer.git		MiSTer-devel_Arcade-QBert_MiSTer	not-ported			not-run	not-run	
_Arcade	Qix		no	https://github.com/MiSTer-devel/Arcade-Qix_MiSTer.git		MiSTer-devel_Arcade-Qix_MiSTer	not-ported			not-run	not-run	
_Arcade	Raiden		yes	https://github.com/MiSTer-devel/Arcade-Raiden_MiSTer.git		MiSTer-devel_Arcade-Raiden_MiSTer	not-ported			not-run	not-run	
_Arcade	Rally-X		no	https://github.com/MiSTer-devel/Arcade-RallyX_MiSTer.git		MiSTer-devel_Arcade-RallyX_MiSTer	not-ported			not-run	not-run	
_Arcade	River Patrol		no	https://github.com/MiSTer-devel/Arcade-RiverPatrol_MiSTer.git		MiSTer-devel_Arcade-RiverPatrol_MiSTer	not-ported			not-run	not-run	
_Arcade	Robotron 2084		no	https://github.com/MiSTer-devel/Arcade-Robotron_MiSTer.git		MiSTer-devel_Arcade-Robotron_MiSTer	not-ported			not-run	not-run	
_Arcade	Rush'n Attack / Green Beret		no	https://github.com/MiSTer-devel/Arcade-RushnAttack_MiSTer.git		MiSTer-devel_Arcade-RushnAttack_MiSTer	not-ported			not-run	not-run	
_Arcade	Salamander		no	https://github.com/MiSTer-devel/Arcade-Salamander_MiSTer.git		MiSTer-devel_Arcade-Salamander_MiSTer	not-ported			not-run	not-run	
_Arcade	Scooter Shooter		no	https://github.com/MiSTer-devel/Arcade-ScooterShooter_MiSTer.git		MiSTer-devel_Arcade-ScooterShooter_MiSTer	not-ported			not-run	not-run	
_Arcade	Scramble		yes	https://github.com/MiSTer-devel/Arcade-Scramble_MiSTer.git		MiSTer-devel_Arcade-Scramble_MiSTer	not-ported			not-run	not-run	
_Arcade	SD Gundam Sangokushi Rainbow Tairiku Senki		yes	https://github.com/MiSTer-devel/Arcade-SDGundamRainbow_MiSTer.git		MiSTer-devel_Arcade-SDGundamRainbow_MiSTer	not-ported			not-run	not-run	
_Arcade	Sega G80V		yes	https://github.com/MiSTer-devel/Arcade-SegaG80V_MiSTer.git		MiSTer-devel_Arcade-SegaG80V_MiSTer	not-ported			not-run	not-run	
